,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,2106227000.0,2588688000.0,621928000.0,713369000.0
Capital Surplus,15829444000.0,15731803000.0,15700346000.0,15666881000.0
Total Liab,311818447000.0,313364696000.0,277437388000.0,244746244000.0
Total Stockholder Equity,81159841000.0,57056189000.0,56588819000.0,52750345000.0
Other Current Liab,41686615000.0,40487947000.0,21865495000.0,4619696000.0
Total Assets,392978288000.0,370420885000.0,334026207000.0,297496589000.0
Common Stock,4545945000.0,4544663000.0,4543099000.0,4539483000.0
Other Current Assets,70848291000.0,79415091000.0,78488009000.0,83888187000.0
Retained Earnings,53698932000.0,40786732000.0,32718660000.0,25101336000.0
Treasury Stock,7085520000.0,-4007009000.0,3626714000.0,7442645000.0
Other Assets,4539026000.0,4129478000.0,4104969000.0,3530035000.0
Cash,2268745000.0,324862000.0,3475366000.0,5918164000.0
Total Current Liabilities,306968447000.0,308514696000.0,272587388000.0,239896244000.0
Deferred Long Term Asset Charges,3498557000.0,3063067000.0,3012597000.0,2114128000.0
Other Stockholder Equity,7085520000.0,-4007009000.0,3626714000.0,7442645000.0
Property Plant Equipment,4162115000.0,4177126000.0,4030390000.0,3346488000.0
Total Current Assets,104491366000.0,125728133000.0,121376280000.0,123432552000.0
Long Term Investments,277679554000.0,233797460000.0,203892640000.0,166474145000.0
Net Tangible Assets,79053614000.0,54467501000.0,55966891000.0,52036976000.0
Short Term Investments,30201826000.0,28403396000.0,17323203000.0,14036628000.0
Net Receivables,1172504000.0,17584784000.0,22089702000.0,19589573000.0
Long Term Debt,4850000000.0,4850000000.0,4850000000.0,4850000000.0
Accounts Payable,261550316000.0,264878881000.0,246276358000.0,229336327000.0
