,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,19539535000.0,16968866000.0,15984164000.0,11962331000.0
Minority Interest,,,,
Net Income,14730548000.0,11937570000.0,10492626000.0,8617757000.0
Selling General Administrative,27280411000.0,22820315000.0,19901616000.0,20792072000.0
Gross Profit,50959116000.0,40972315000.0,36145310000.0,30576211000.0
Ebit,20228798000.0,17204977000.0,16207016000.0,12296322000.0
Operating Income,20228798000.0,17204977000.0,16207016000.0,12296322000.0
Other Operating Expenses,3247248000.0,465052000.0,-47270000.0,-3106005000.0
Interest Expense,-399773000.0,-400482000.0,-400125000.0,-400125000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,4808987000.0,5031296000.0,5491538000.0,3344574000.0
Total Revenue,127315459000.0,113930613000.0,102269551000.0,84567485000.0
Total Operating Expenses,107086661000.0,96725636000.0,86062535000.0,72271163000.0
Cost Of Revenue,76356343000.0,72958298000.0,66124241000.0,53991274000.0
Total Other Income Expense Net,-689263000.0,-236111000.0,-222852000.0,-333991000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,14730548000.0,11937570000.0,10492626000.0,8617757000.0
Net Income Applicable To Common Shares,14730548000.0,11937570000.0,10492626000.0,8617757000.0
