,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,297885000.0,161483000.0,143299000.0,186386000.0
Capital Surplus,34329880000.0,34291052000.0,34277490000.0,34233308000.0
Total Liab,2081106319000.0,1488183570000.0,1560438642000.0,1349370871000.0
Total Stockholder Equity,91092628000.0,72124629000.0,70423432000.0,68817805000.0
Other Current Liab,8415218000.0,5933187000.0,13698008000.0,12098313000.0
Total Assets,2172198947000.0,1560308199000.0,1630862074000.0,1418188676000.0
Common Stock,14359742000.0,14358626000.0,14357845000.0,14354987000.0
Other Current Assets,26542105000.0,24269758000.0,21985738000.0,21396595000.0
Retained Earnings,36006240000.0,26444686000.0,19842696000.0,16933615000.0
Other Liab,2031800416000.0,1454862509000.0,1523794654000.0,1314892288000.0
Treasury Stock,6396766000.0,-2969735000.0,1945401000.0,3295895000.0
Other Assets,2031729773000.0,1448025428000.0,1520717008000.0,1314941125000.0
Cash,5583418000.0,8119160000.0,6610406000.0,2038132000.0
Total Current Liabilities,37305903000.0,33321061000.0,36643988000.0,34478583000.0
Other Stockholder Equity,6396766000.0,-2969735000.0,1945401000.0,3295895000.0
Property Plant Equipment,4275582000.0,4616074000.0,4613723000.0,4034236000.0
Total Current Assets,52158092000.0,49121735000.0,48312096000.0,37532380000.0
Long Term Investments,83737615000.0,58383479000.0,57075948000.0,61494549000.0
Net Tangible Assets,90794743000.0,71963146000.0,70280133000.0,68631419000.0
Short Term Investments,13184989000.0,10727163000.0,14940723000.0,9289520000.0
Net Receivables,6847580000.0,6005654000.0,4775229000.0,4808133000.0
Long Term Debt,12000000000.0,,,
Accounts Payable,19331620000.0,18864672000.0,13693000000.0,13701939000.0
Deferred Long Term Asset Charges,,,446000.0,463000.0
