,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,12192514000.0,11984175000.0,12744289000.0,18389687000.0
Minority Interest,,,,
Net Income,9561554000.0,10669794000.0,11389262000.0,16191653000.0
Selling General Administrative,26824953000.0,28495370000.0,25497951000.0,20102658000.0
Gross Profit,61818930000.0,62022666000.0,49866343000.0,45160928000.0
Ebit,12521314000.0,11984175000.0,12883807000.0,18540895000.0
Operating Income,12521314000.0,11984175000.0,12883807000.0,18540895000.0
Other Operating Expenses,22356937000.0,21524047000.0,11485908000.0,6486530000.0
Interest Expense,-328800000.0,-189390000.0,-232618000.0,-201494000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2630960000.0,1314381000.0,1355027000.0,2198034000.0
Total Revenue,848024808000.0,223435024000.0,420445654000.0,389542527000.0
Total Operating Expenses,835503494000.0,211450849000.0,407561847000.0,371001632000.0
Cost Of Revenue,786205878000.0,161412358000.0,370579311000.0,344381599000.0
Total Other Income Expense Net,-317400000.0,-179880000.0,-139518000.0,-151208000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,9561554000.0,10669794000.0,11389262000.0,16191653000.0
Net Income Applicable To Common Shares,9561554000.0,10669794000.0,11389262000.0,16191653000.0
