,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,170700000.0,181700000.0,215500000.0,164800000.0
Total Liab,27155500000.0,21863800000.0,18675800000.0,14495200000.0
Total Stockholder Equity,63344300000.0,53579700000.0,43157100000.0,36469500000.0
Other Current Liab,15141000000.0,12427500000.0,9997800000.0,8001400000.0
Total Assets,90499800000.0,75443500000.0,61832900000.0,50964700000.0
Common Stock,1400000000.0,1400000000.0,1400000000.0,1400000000.0
Other Current Assets,153300000.0,172000000.0,121200000.0,84700000.0
Retained Earnings,61944300000.0,52179700000.0,41757100000.0,35069500000.0
Other Liab,2834600000.0,3147100000.0,3368600000.0,2732100000.0
Other Assets,659200000.0,828600000.0,938800000.0,694000000.0
Cash,903200000.0,6677100000.0,711600000.0,2036800000.0
Total Current Liabilities,23521500000.0,17954900000.0,15307200000.0,11763100000.0
Property Plant Equipment,51507400000.0,43154200000.0,33333800000.0,28015700000.0
Total Current Assets,30955100000.0,24976400000.0,22423700000.0,17825900000.0
Long Term Investments,7207400000.0,6302600000.0,4921100000.0,4264300000.0
Net Tangible Assets,63173600000.0,53398000000.0,42941600000.0,36304700000.0
Short Term Investments,10299900000.0,14999900000.0,5283600000.0,3500000000.0
Net Receivables,3294500000.0,2367100000.0,2702800000.0,2644300000.0
Inventory,455500000.0,511100000.0,509400000.0,523700000.0
Accounts Payable,4186000000.0,2249600000.0,3260600000.0,3385800000.0
