,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,14219000000.0,15565000000.0,12692700000.0,10959400000.0
Minority Interest,,,,
Net Income,11725500000.0,12489900000.0,8421000000.0,7217200000.0
Selling General Administrative,3062800000.0,3386800000.0,2879900000.0,2339200000.0
Gross Profit,24106400000.0,25052400000.0,21274300000.0,18408100000.0
Ebit,11926800000.0,12710300000.0,10584000000.0,9458600000.0
Operating Income,11926800000.0,12710300000.0,10584000000.0,9458600000.0
Other Operating Expenses,6212900000.0,6432800000.0,5799700000.0,4797400000.0
Interest Expense,-96700000.0,-65200000.0,-2600000.0,-2600000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2493500000.0,3075100000.0,4271700000.0,3742200000.0
Total Revenue,49408000000.0,64852700000.0,57648400000.0,45354700000.0
Total Operating Expenses,37481200000.0,52142400000.0,47064400000.0,35896100000.0
Cost Of Revenue,25301600000.0,39800300000.0,36374100000.0,26946600000.0
Total Other Income Expense Net,2292200000.0,2854700000.0,2108700000.0,1500800000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,11725500000.0,12489900000.0,8421000000.0,7217200000.0
Net Income Applicable To Common Shares,11725500000.0,12489900000.0,8421000000.0,7217200000.0
