,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,389150000.0,445600000.0,321020000.0,471230000.0
Capital Surplus,38337210000.0,38184210000.0,37740960000.0,37740960000.0
Total Liab,429402940000.0,362231380000.0,180810320000.0,140519410000.0
Total Stockholder Equity,1049800000.0,58720610000.0,69399310000.0,70714760000.0
Other Current Liab,30328050000.0,33322520000.0,40301530000.0,31875150000.0
Total Assets,430511530000.0,421010780000.0,250268420000.0,211292960000.0
Common Stock,3849100000.0,3847960000.0,3844070000.0,3844070000.0
Other Current Assets,106165970000.0,99320340000.0,76728910000.0,63304430000.0
Retained Earnings,-41486750000.0,16583330000.0,27407460000.0,28621520000.0
Other Liab,33544400000.0,38599920000.0,78770070000.0,56875380000.0
Treasury Stock,350240000.0,105110000.0,406820000.0,508210000.0
Other Assets,33473660000.0,27247950000.0,11933010000.0,18774250000.0
Cash,5088850000.0,7190660000.0,7284170000.0,6707180000.0
Total Current Liabilities,189236920000.0,164374580000.0,80103560000.0,61230330000.0
Deferred Long Term Asset Charges,3026930000.0,2992820000.0,9670000.0,
Other Stockholder Equity,350240000.0,105110000.0,406820000.0,508210000.0
Property Plant Equipment,188494880000.0,168749770000.0,56535690000.0,45641760000.0
Total Current Assets,208139170000.0,224564600000.0,181170460000.0,146315630000.0
Long Term Investments,14670000.0,2860000.0,308240000.0,90090000.0
Net Tangible Assets,660650000.0,58275010000.0,69078290000.0,70243530000.0
Short Term Investments,12796820000.0,6880840000.0,13333720000.0,878600000.0
Net Receivables,7138360000.0,12918870000.0,15030130000.0,8449840000.0
Long Term Debt,3816280000.0,3465870000.0,5882510000.0,5082090000.0
Inventory,3164180000.0,2861280000.0,2114410000.0,1832270000.0
Accounts Payable,15490140000.0,15518190000.0,14457060000.0,9869820000.0
Short Long Term Debt,,3390530000.0,,
Deferred Long Term Liab,,,2794660000.0,3288370000.0
