,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,73000000.0,120000000.0,71000000.0,103000000.0
Capital Surplus,48830000000.0,48838000000.0,48838000000.0,48838000000.0
Total Liab,290667000000.0,62116000000.0,25989000000.0,27152000000.0
Total Stockholder Equity,158770000000.0,135423000000.0,145316000000.0,169644000000.0
Other Current Liab,13139000000.0,2645000000.0,2205000000.0,2834000000.0
Total Assets,449437000000.0,197539000000.0,171305000000.0,196796000000.0
Common Stock,26949000000.0,18496000000.0,18496000000.0,18496000000.0
Other Current Assets,3368000000.0,1922000000.0,2016000000.0,1977000000.0
Retained Earnings,127064000000.0,67852000000.0,77617000000.0,101962000000.0
Other Liab,23783000000.0,4179000000.0,8237000000.0,8993000000.0
Treasury Stock,-44073000000.0,237000000.0,365000000.0,348000000.0
Other Assets,32185000000.0,6004000000.0,4481000000.0,5414000000.0
Cash,145000000.0,1452000000.0,3000000.0,308000000.0
Total Current Liabilities,139506000000.0,38263000000.0,17752000000.0,18159000000.0
Short Long Term Debt,11938000000.0,,,
Other Stockholder Equity,-43964000000.0,478000000.0,605000000.0,637000000.0
Property Plant Equipment,320665000000.0,67566000000.0,54431000000.0,56948000000.0
Total Current Assets,96298000000.0,49513000000.0,42800000000.0,76120000000.0
Long Term Investments,216000000.0,74336000000.0,69522000000.0,58211000000.0
Net Tangible Assets,158697000000.0,135303000000.0,145245000000.0,169541000000.0
Short Term Investments,52273000000.0,18000000.0,14000000.0,4000000.0
Net Receivables,69934000000.0,8567000000.0,11025000000.0,8663000000.0
Long Term Debt,15051000000.0,,,
Accounts Payable,32588000000.0,8072000000.0,10833000000.0,10996000000.0
Deferred Long Term Asset Charges,,1331000000.0,159000000.0,542000000.0
