,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,47569000000.0,37875000000.0,35527000000.0,35292000000.0
Minority Interest,,,,
Net Income,37790000000.0,32987000000.0,24938000000.0,24937000000.0
Selling General Administrative,,,3446000000.0,3518000000.0
Gross Profit,75635000000.0,38320000000.0,36454000000.0,36417000000.0
Ebit,43158000000.0,22809000000.0,21008000000.0,20064000000.0
Operating Income,43158000000.0,22809000000.0,21008000000.0,20064000000.0
Other Operating Expenses,3993000000.0,2696000000.0,455000000.0,1034000000.0
Interest Expense,-7401000000.0,-2794000000.0,-62000000.0,-25000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,9779000000.0,4888000000.0,10589000000.0,10355000000.0
Total Revenue,139543000000.0,67430000000.0,68262000000.0,66212000000.0
Total Operating Expenses,96385000000.0,44621000000.0,47254000000.0,46148000000.0
Cost Of Revenue,63908000000.0,29110000000.0,31808000000.0,29795000000.0
Total Other Income Expense Net,4411000000.0,15066000000.0,14519000000.0,15228000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,37790000000.0,32987000000.0,24938000000.0,24937000000.0
Net Income Applicable To Common Shares,37790000000.0,32987000000.0,24938000000.0,24937000000.0
