,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,72956400000.0,-4652400000.0,-28016900000.0,-18553100000.0
Minority Interest,-8777000000.0,-7764400000.0,-5261000000.0,4403400000.0
Net Income,36335600000.0,-1091700000.0,-16453400000.0,-14091100000.0
Selling General Administrative,9103000000.0,9307600000.0,13065000000.0,10917700000.0
Gross Profit,283254700000.0,193729100000.0,232857400000.0,185120100000.0
Ebit,109362400000.0,34614300000.0,28957800000.0,27305700000.0
Operating Income,109362400000.0,34614300000.0,28957800000.0,27305700000.0
Other Operating Expenses,130255900000.0,115518500000.0,136031100000.0,108066400000.0
Interest Expense,-29931600000.0,-36436800000.0,-41872500000.0,-39843500000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,17687100000.0,1084500000.0,-3901700000.0,-2398100000.0
Total Revenue,390088700000.0,304905200000.0,393732400000.0,273834300000.0
Total Operating Expenses,280726300000.0,270290900000.0,364774600000.0,246528600000.0
Cost Of Revenue,106834000000.0,111176100000.0,160875000000.0,88714200000.0
Total Other Income Expense Net,-36406000000.0,-39266700000.0,-56974700000.0,-45858800000.0
Discontinued Operations,-16385300000.0,1739900000.0,1739900000.0,1739900000.0
Net Income From Continuing Ops,55269300000.0,-5736900000.0,-24115200000.0,-16155000000.0
Net Income Applicable To Common Shares,36335600000.0,-1091700000.0,-16453400000.0,-14091100000.0
