,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3061741000.0,4027862000.0,4896740000.0,3030606000.0
Minority Interest,93909000.0,106922000.0,25779000.0,25779000.0
Net Income,2316666000.0,2799825000.0,3197893000.0,1962270000.0
Selling General Administrative,120321000.0,837264000.0,837264000.0,837264000.0
Gross Profit,17501098000.0,20508056000.0,15594261000.0,12407279000.0
Ebit,3569587000.0,5314130000.0,4451746000.0,2818894000.0
Operating Income,3569587000.0,5314130000.0,4451746000.0,2818894000.0
Other Operating Expenses,10263916000.0,10843564000.0,9568010000.0,7987327000.0
Interest Expense,-1626978000.0,-1652350000.0,-1652350000.0,-1652350000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,756524000.0,1239873000.0,1716936000.0,1068336000.0
Total Revenue,33118713000.0,39272740000.0,35631446000.0,30184001000.0
Total Operating Expenses,29549126000.0,33958610000.0,31179700000.0,27365107000.0
Cost Of Revenue,15617615000.0,18764684000.0,20037185000.0,17776722000.0
Total Other Income Expense Net,-507846000.0,-1286268000.0,444994000.0,211712000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2305217000.0,2787989000.0,3179804000.0,1962270000.0
Net Income Applicable To Common Shares,2316666000.0,2799825000.0,3197893000.0,1962270000.0
