,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,2667000000.0,1316000000.0,1383000000.0,1593000000.0
Capital Surplus,2862000000.0,2514000000.0,2198000000.0,1819000000.0
Total Liab,34020000000.0,34198000000.0,17746000000.0,14887000000.0
Total Stockholder Equity,73034000000.0,54040000000.0,48938000000.0,38598000000.0
Minority Interest,37000000.0,11000000.0,8000000.0,13000000.0
Deferred Long Term Liab,679000000.0,780000000.0,315000000.0,
Other Current Liab,7254000000.0,7654000000.0,4872000000.0,3845000000.0
Total Assets,107091000000.0,88249000000.0,66692000000.0,53498000000.0
Common Stock,175000000.0,174000000.0,174000000.0,172000000.0
Other Current Assets,3385000000.0,2010000000.0,2327000000.0,2109000000.0
Retained Earnings,66073000000.0,52036000000.0,43162000000.0,33368000000.0
Other Liab,1322000000.0,3315000000.0,1283000000.0,1453000000.0
Good Will,6574000000.0,6368000000.0,4947000000.0,2763000000.0
Treasury Stock,3924000000.0,-684000000.0,3404000000.0,3239000000.0
Other Assets,5043000000.0,5168000000.0,5576000000.0,4978000000.0
Cash,6759000000.0,4853000000.0,3499000000.0,3323000000.0
Total Current Liabilities,26323000000.0,23312000000.0,16463000000.0,13434000000.0
Deferred Long Term Asset Charges,546000000.0,2222000000.0,1545000000.0,1921000000.0
Other Stockholder Equity,3924000000.0,-684000000.0,3404000000.0,3239000000.0
Property Plant Equipment,10481000000.0,12105000000.0,3084000000.0,2518000000.0
Total Current Assets,81313000000.0,63290000000.0,51701000000.0,41645000000.0
Long Term Investments,1013000000.0,2000000.0,1000000.0,1000000.0
Net Tangible Assets,63793000000.0,46356000000.0,42608000000.0,34242000000.0
Short Term Investments,37046000000.0,22373000000.0,17920000000.0,12873000000.0
Net Receivables,32627000000.0,33095000000.0,27049000000.0,22565000000.0
Accounts Payable,3558000000.0,3493000000.0,1507000000.0,1456000000.0
