,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,25882000000.0,20029000000.0,20278000000.0,14415000000.0
Minority Interest,37000000.0,11000000.0,8000000.0,13000000.0
Net Income,19361000000.0,15201000000.0,15159000000.0,11120000000.0
Selling General Administrative,124000000.0,304000000.0,219000000.0,2064000000.0
Gross Profit,29339000000.0,22418000000.0,20436000000.0,15612000000.0
Ebit,23926000000.0,17563000000.0,17361000000.0,10928000000.0
Operating Income,23926000000.0,17563000000.0,17361000000.0,10928000000.0
Other Operating Expenses,1964000000.0,1821000000.0,1384000000.0,1057000000.0
Interest Expense,-788000000.0,-826000000.0,-106000000.0,-157000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,6500000000.0,4824000000.0,5123000000.0,3291000000.0
Total Revenue,123698000000.0,108786000000.0,94458000000.0,73065000000.0
Total Operating Expenses,99772000000.0,91223000000.0,77097000000.0,62137000000.0
Cost Of Revenue,94359000000.0,86368000000.0,74022000000.0,57453000000.0
Total Other Income Expense Net,1956000000.0,2466000000.0,2917000000.0,3487000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,19382000000.0,15205000000.0,15155000000.0,11124000000.0
Net Income Applicable To Common Shares,19361000000.0,15201000000.0,15159000000.0,11120000000.0
