,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,16764500000.0,7572300000.0,14089600000.0,5468100000.0
Minority Interest,549700000.0,444600000.0,468600000.0,400800000.0
Net Income,12165300000.0,-2693900000.0,6065500000.0,2512600000.0
Selling General Administrative,29146000000.0,30743800000.0,29658400000.0,30718200000.0
Gross Profit,94184600000.0,95968400000.0,93992500000.0,101799100000.0
Ebit,17497400000.0,13705400000.0,17152700000.0,20504200000.0
Operating Income,17497400000.0,13705400000.0,17152700000.0,20504200000.0
Other Operating Expenses,38667100000.0,41817000000.0,38720900000.0,39726800000.0
Interest Expense,-959500000.0,-3209200000.0,-2437800000.0,-1427900000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,4485200000.0,11571100000.0,8879400000.0,2884600000.0
Total Revenue,151629600000.0,153747600000.0,146645600000.0,157765300000.0
Total Operating Expenses,134132200000.0,140042200000.0,129492900000.0,137261100000.0
Cost Of Revenue,57445000000.0,57779200000.0,52653100000.0,55966200000.0
Total Other Income Expense Net,-732900000.0,-6133100000.0,-3063100000.0,-15036100000.0
Discontinued Operations,,1301000000.0,944600000.0,944600000.0
Net Income From Continuing Ops,12279300000.0,-3998800000.0,5210200000.0,2583500000.0
Net Income Applicable To Common Shares,12165300000.0,-2693900000.0,6065500000.0,2512600000.0
