,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,2300000000.0,410000000.0,550000000.0,600000000.0
Capital Surplus,4310000000.0,4200000000.0,4160000000.0,4160000000.0
Total Liab,22520000000.0,19340000000.0,19220000000.0,15260000000.0
Total Stockholder Equity,32400000000.0,30230000000.0,29750000000.0,25430000000.0
Minority Interest,180000000.0,130000000.0,120000000.0,120000000.0
Other Current Liab,3060000000.0,3190000000.0,2890000000.0,2390000000.0
Total Assets,55100000000.0,49700000000.0,49090000000.0,40810000000.0
Common Stock,1290000000.0,1290000000.0,1290000000.0,1290000000.0
Other Current Assets,2080000000.0,1670000000.0,1790000000.0,1630000000.0
Retained Earnings,33370000000.0,31330000000.0,31420000000.0,27320000000.0
Other Liab,1090000000.0,270000000.0,330000000.0,480000000.0
Good Will,6130000000.0,5380000000.0,5030000000.0,4860000000.0
Treasury Stock,-6570000000.0,-6590000000.0,-7120000000.0,-7340000000.0
Other Assets,3020000000.0,2680000000.0,3110000000.0,1230000000.0
Cash,1090000000.0,930000000.0,480000000.0,510000000.0
Total Current Liabilities,20130000000.0,17530000000.0,17240000000.0,14580000000.0
Deferred Long Term Asset Charges,1860000000.0,1590000000.0,2020000000.0,90000000.0
Short Long Term Debt,30000000.0,30000000.0,30000000.0,30000000.0
Other Stockholder Equity,-6170000000.0,-6320000000.0,-6850000000.0,-6920000000.0
Property Plant Equipment,7760000000.0,8580000000.0,7700000000.0,5610000000.0
Total Current Assets,33360000000.0,31490000000.0,32000000000.0,27940000000.0
Long Term Investments,2530000000.0,1160000000.0,700000000.0,570000000.0
Net Tangible Assets,23970000000.0,24440000000.0,24170000000.0,19970000000.0
Short Term Investments,13990000000.0,8110000000.0,8930000000.0,6360000000.0
Net Receivables,4770000000.0,6820000000.0,6510000000.0,4180000000.0
Long Term Debt,80000000.0,100000000.0,140000000.0,200000000.0
Inventory,11260000000.0,13800000000.0,14110000000.0,15110000000.0
Accounts Payable,11340000000.0,9500000000.0,9440000000.0,8220000000.0
