,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,15230000000.0,13740000000.0,12570000000.0,11170000000.0
Minority Interest,180000000.0,130000000.0,120000000.0,120000000.0
Net Income,11720000000.0,10210000000.0,11140000000.0,8140000000.0
Selling General Administrative,12680000000.0,4780000000.0,11260000000.0,4740000000.0
Gross Profit,37310000000.0,35310000000.0,32780000000.0,29740000000.0
Ebit,14530000000.0,13330000000.0,11960000000.0,10530000000.0
Operating Income,14530000000.0,13330000000.0,11960000000.0,10530000000.0
Other Operating Expenses,8710000000.0,15820000000.0,8260000000.0,13620000000.0
Interest Expense,-240000000.0,-330000000.0,-330000000.0,-120000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3240000000.0,3310000000.0,1260000000.0,2900000000.0
Total Revenue,80480000000.0,73150000000.0,73340000000.0,63220000000.0
Total Operating Expenses,65950000000.0,59820000000.0,61380000000.0,52690000000.0
Cost Of Revenue,43170000000.0,37840000000.0,40560000000.0,33480000000.0
Total Other Income Expense Net,700000000.0,410000000.0,610000000.0,640000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,11990000000.0,10430000000.0,11310000000.0,8270000000.0
Net Income Applicable To Common Shares,11720000000.0,10210000000.0,11140000000.0,8140000000.0
