,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,3839000000.0,4006000000.0,3902000000.0,3838000000.0
Capital Surplus,45682000000.0,45682000000.0,45682000000.0,45682000000.0
Total Liab,44781000000.0,51646000000.0,60217000000.0,64931000000.0
Total Stockholder Equity,41198000000.0,37280000000.0,30903000000.0,24191000000.0
Minority Interest,-609000000.0,-413000000.0,-31000000.0,136000000.0
Other Current Liab,5375000000.0,5608000000.0,10410000000.0,10672000000.0
Total Assets,85370000000.0,88513000000.0,91089000000.0,89258000000.0
Common Stock,1453000000.0,1453000000.0,1453000000.0,1453000000.0
Other Current Assets,1127000000.0,1421000000.0,1639000000.0,2477000000.0
Retained Earnings,-11436000000.0,-15322000000.0,-21641000000.0,-28284000000.0
Other Liab,457000000.0,358000000.0,535000000.0,526000000.0
Good Will,210000000.0,210000000.0,493000000.0,361000000.0
Treasury Stock,5499000000.0,5467000000.0,5409000000.0,5340000000.0
Other Assets,17517000000.0,18821000000.0,18603000000.0,15125000000.0
Cash,778000000.0,661000000.0,2164000000.0,1419000000.0
Total Current Liabilities,43377000000.0,49938000000.0,51878000000.0,56777000000.0
Deferred Long Term Asset Charges,1711000000.0,1590000000.0,2900000000.0,1714000000.0
Short Long Term Debt,23000000.0,7530000000.0,38000000.0,3527000000.0
Other Stockholder Equity,6696000000.0,6664000000.0,6606000000.0,6537000000.0
Property Plant Equipment,15774000000.0,16554000000.0,15201000000.0,14732000000.0
Total Current Assets,48030000000.0,48703000000.0,52638000000.0,55202000000.0
Net Tangible Assets,37149000000.0,33064000000.0,26508000000.0,19992000000.0
Net Receivables,24214000000.0,26053000000.0,28141000000.0,29904000000.0
Long Term Debt,22000000.0,147000000.0,7661000000.0,7601000000.0
Inventory,20519000000.0,19275000000.0,19343000000.0,19197000000.0
Accounts Payable,13946000000.0,11689000000.0,13837000000.0,14022000000.0
Long Term Investments,,219000000.0,252000000.0,
Short Term Investments,,,,1062000000.0
