,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,5400000000.0,11603000000.0,10117000000.0,9118000000.0
Minority Interest,-609000000.0,-413000000.0,-31000000.0,136000000.0
Net Income,3836000000.0,6589000000.0,7002000000.0,6338000000.0
Selling General Administrative,13599000000.0,15081000000.0,18386000000.0,17383000000.0
Gross Profit,35916000000.0,42252000000.0,46505000000.0,42719000000.0
Ebit,7675000000.0,12803000000.0,11789000000.0,10182000000.0
Operating Income,7675000000.0,12803000000.0,11789000000.0,10182000000.0
Other Operating Expenses,11280000000.0,11999000000.0,12825000000.0,11704000000.0
Interest Expense,-1876000000.0,-2120000000.0,-2372000000.0,-2775000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1779000000.0,5397000000.0,3281000000.0,2599000000.0
Total Revenue,81313000000.0,93254000000.0,93408000000.0,85906000000.0
Total Operating Expenses,73638000000.0,80451000000.0,81619000000.0,75724000000.0
Cost Of Revenue,45397000000.0,51002000000.0,46903000000.0,43187000000.0
Total Other Income Expense Net,-2275000000.0,-1200000000.0,-1672000000.0,-1064000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,3621000000.0,6206000000.0,6836000000.0,6519000000.0
Net Income Applicable To Common Shares,3836000000.0,6589000000.0,7002000000.0,6338000000.0
