,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,86860000.0,85370000.0,79850000.0,108000000.0
Capital Surplus,15016440000.0,14968790000.0,14890410000.0,14797040000.0
Total Liab,528818350000.0,428803400000.0,316612220000.0,257419100000.0
Total Stockholder Equity,155750250000.0,118292100000.0,99312000000.0,78565750000.0
Minority Interest,1845750000.0,1721420000.0,1423770000.0,733130000.0
Other Current Liab,2153180000.0,1885450000.0,1176070000.0,1082480000.0
Total Assets,686414350000.0,548816920000.0,417347990000.0,336717980000.0
Common Stock,4011960000.0,4010370000.0,4006610000.0,4000410000.0
Other Current Assets,2683740000.0,3162020000.0,2110670000.0,165940000.0
Retained Earnings,100992190000.0,63556010000.0,45125690000.0,34145690000.0
Other Liab,3699960000.0,3714480000.0,2435300000.0,2300590000.0
Good Will,299960000.0,299960000.0,299960000.0,212160000.0
Treasury Stock,35729660000.0,35756930000.0,35289290000.0,25622610000.0
Other Assets,1906340000.0,1444130000.0,1755340000.0,1476690000.0
Cash,77775200000.0,58347650000.0,20056620000.0,6412060000.0
Total Current Liabilities,268864700000.0,258159280000.0,188764490000.0,160803770000.0
Deferred Long Term Asset Charges,592750000.0,171040000.0,369400000.0,191540000.0
Short Long Term Debt,42100000.0,166710000.0,,
Other Stockholder Equity,35729660000.0,35756930000.0,35289290000.0,25622610000.0
Property Plant Equipment,3129890000.0,2881790000.0,2284120000.0,2103390000.0
Total Current Assets,671402200000.0,537634730000.0,410705490000.0,329910670000.0
Long Term Investments,9589100000.0,6470940000.0,2223230000.0,2907070000.0
Net Tangible Assets,155363430000.0,117906770000.0,98932190000.0,78245590000.0
Short Term Investments,240790000.0,334570000.0,273780000.0,260010000.0
Net Receivables,590548830000.0,472341550000.0,388264420000.0,323072660000.0
Long Term Debt,256128690000.0,166806610000.0,125412430000.0,94314740000.0
Accounts Payable,4691060000.0,4819460000.0,4283030000.0,3912920000.0
