,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,51314800000.0,42603910000.0,32595280000.0,29420780000.0
Minority Interest,1845750000.0,1721420000.0,1423770000.0,733130000.0
Net Income,38043970000.0,31382450000.0,20780130000.0,18298320000.0
Selling General Administrative,15731420000.0,16074590000.0,13749090000.0,11412880000.0
Gross Profit,72261280000.0,64105030000.0,50643740000.0,46571690000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,51339050000.0,42600390000.0,32744850000.0,29405900000.0
Other Operating Expenses,4201520000.0,4114760000.0,3318270000.0,4863830000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,13126100000.0,10917100000.0,11565670000.0,10983260000.0
Total Revenue,72261280000.0,64105030000.0,50643740000.0,46571690000.0
Total Operating Expenses,20922230000.0,21504640000.0,17898890000.0,17165790000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-24250000.0,3520000.0,-149570000.0,14880000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,38188700000.0,31686810000.0,21029610000.0,18437520000.0
Net Income Applicable To Common Shares,38043970000.0,31382450000.0,20780130000.0,18298320000.0
