,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,27570100000.0,29128400000.0,30944600000.0,33010400000.0
Capital Surplus,129467400000.0,96972500000.0,29445000000.0,18313000000.0
Total Liab,419799000000.0,443369900000.0,583801500000.0,462260000000.0
Total Stockholder Equity,340179600000.0,305715900000.0,272242700000.0,265623900000.0
Minority Interest,11210000000.0,,90300000.0,120000000.0
Deferred Long Term Liab,77900000.0,132500000.0,122300000.0,53500000.0
Other Current Liab,5128200000.0,5698300000.0,7369600000.0,5402300000.0
Total Assets,771188600000.0,749085800000.0,856134500000.0,728003900000.0
Common Stock,451100000.0,451100000.0,368900000.0,360500000.0
Other Current Assets,16641300000.0,17235100000.0,12917700000.0,4447900000.0
Retained Earnings,187648200000.0,180624800000.0,173793500000.0,173310500000.0
Other Liab,3955000000.0,2135400000.0,2634200000.0,2768800000.0
Good Will,11142800000.0,11390700000.0,59394500000.0,56325500000.0
Treasury Stock,22612900000.0,27667500000.0,68635300000.0,73639900000.0
Other Assets,315499500000.0,353705200000.0,383622700000.0,259606200000.0
Cash,57190100000.0,43409400000.0,8117300000.0,23974300000.0
Total Current Liabilities,133472500000.0,236730000000.0,310836600000.0,217285100000.0
Deferred Long Term Asset Charges,9372400000.0,23723200000.0,40684500000.0,42444000000.0
Short Long Term Debt,79099500000.0,137983800000.0,134252200000.0,52743100000.0
Other Stockholder Equity,22612900000.0,27667500000.0,68635300000.0,73639900000.0
Property Plant Equipment,33271000000.0,28806700000.0,26567800000.0,24391200000.0
Total Current Assets,198674200000.0,161130800000.0,122610200000.0,118154400000.0
Long Term Investments,185031000000.0,164924000000.0,232994700000.0,236516200000.0
Net Tangible Assets,301466700000.0,265196800000.0,181903600000.0,176288000000.0
Short Term Investments,17099300000.0,27232700000.0,16343600000.0,39305000000.0
Net Receivables,66406600000.0,54442000000.0,67198200000.0,29100400000.0
Long Term Debt,280967600000.0,203062500000.0,270330700000.0,242206100000.0
Inventory,12992300000.0,10611700000.0,8313300000.0,7740200000.0
Accounts Payable,11783900000.0,9898300000.0,9608700000.0,8742900000.0
