,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Capital Surplus,751900000.0,751900000.0,751900000.0,751900000.0
Total Liab,9184400000.0,6705400000.0,7079800000.0,6198500000.0
Total Stockholder Equity,7142700000.0,11578600000.0,9090600000.0,8055000000.0
Other Current Liab,447500000.0,383500000.0,622700000.0,1327400000.0
Total Assets,16327100000.0,18284000000.0,16170400000.0,14253500000.0
Common Stock,324600000.0,324600000.0,324600000.0,324600000.0
Other Current Assets,470800000.0,443500000.0,538500000.0,457900000.0
Retained Earnings,5769300000.0,10274700000.0,7839200000.0,6845400000.0
Other Liab,828000000.0,740200000.0,655000000.0,487300000.0
Treasury Stock,296900000.0,227400000.0,174900000.0,133100000.0
Other Assets,2939700000.0,2713600000.0,2777800000.0,3170100000.0
Cash,6476700000.0,8840400000.0,5259000000.0,3923500000.0
Total Current Liabilities,8354600000.0,5950500000.0,6424800000.0,5711200000.0
Deferred Long Term Asset Charges,380200000.0,295800000.0,367600000.0,229800000.0
Other Stockholder Equity,296900000.0,227400000.0,174900000.0,133100000.0
Property Plant Equipment,2213900000.0,2286500000.0,2487700000.0,2715900000.0
Total Current Assets,11173500000.0,13283900000.0,10900900000.0,8360600000.0
Net Tangible Assets,7142700000.0,11578600000.0,9090600000.0,8055000000.0
Net Receivables,1732900000.0,1943600000.0,3047100000.0,2728000000.0
Inventory,2493000000.0,2050500000.0,2034200000.0,1236100000.0
Accounts Payable,7541000000.0,5313300000.0,5484900000.0,4062200000.0
Long Term Investments,,,4000000.0,6900000.0
Short Term Investments,,,22100000.0,14900000.0
