,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,9385000000.0,6138000000.0,5379000000.0,4655000000.0
Minority Interest,,,,
Net Income,7383000000.0,4566000000.0,4102000000.0,3676000000.0
Selling General Administrative,4592000000.0,3734000000.0,3285000000.0,3046000000.0
Gross Profit,19433000000.0,14718000000.0,12502000000.0,10769000000.0
Ebit,8413000000.0,5811000000.0,4847000000.0,4110000000.0
Operating Income,8413000000.0,5811000000.0,4847000000.0,4110000000.0
Other Operating Expenses,4680000000.0,3806000000.0,3443000000.0,2783000000.0
Interest Expense,-281000000.0,-168000000.0,-47000000.0,-50000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2002000000.0,1572000000.0,1277000000.0,979000000.0
Total Revenue,45770000000.0,33665000000.0,28409000000.0,22771000000.0
Total Operating Expenses,37357000000.0,27854000000.0,23562000000.0,18661000000.0
Cost Of Revenue,26337000000.0,18947000000.0,15907000000.0,12002000000.0
Total Other Income Expense Net,972000000.0,327000000.0,532000000.0,545000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,7383000000.0,4566000000.0,4102000000.0,3676000000.0
Net Income Applicable To Common Shares,7383000000.0,4566000000.0,4102000000.0,3676000000.0
