,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,14293800000.0,14436100000.0,14511400000.0,14550300000.0
Capital Surplus,2351000000.0,2351000000.0,2351000000.0,2351000000.0
Total Liab,738396400000.0,854174000000.0,783061400000.0,784943100000.0
Total Stockholder Equity,454062200000.0,415102300000.0,396461500000.0,369466500000.0
Minority Interest,100000.0,100000.0,100000.0,100000.0
Other Current Liab,164743200000.0,148280200000.0,151175600000.0,151879000000.0
Total Assets,1192458700000.0,1269276400000.0,1179523000000.0,1154409700000.0
Common Stock,41305300000.0,41305300000.0,41305300000.0,41305300000.0
Other Current Assets,50741800000.0,49917200000.0,44432100000.0,38364300000.0
Retained Earnings,391905200000.0,348980600000.0,325707700000.0,296659500000.0
Other Liab,76159800000.0,58925300000.0,58862700000.0,52984900000.0
Treasury Stock,18500700000.0,22465400000.0,27097500000.0,29150700000.0
Other Assets,71754800000.0,48362200000.0,52552700000.0,61025000000.0
Cash,5182800000.0,1905400000.0,655800000.0,940000000.0
Total Current Liabilities,464976300000.0,449648400000.0,416172100000.0,434186600000.0
Short Long Term Debt,18512200000.0,26024000000.0,36077100000.0,32717100000.0
Other Stockholder Equity,18500700000.0,22465400000.0,27097500000.0,29150700000.0
Property Plant Equipment,750088000000.0,762762200000.0,758778200000.0,755049700000.0
Total Current Assets,321842100000.0,411254600000.0,323930500000.0,297494200000.0
Long Term Investments,34480000000.0,32461300000.0,29750200000.0,26290500000.0
Net Tangible Assets,439768400000.0,400666200000.0,381950100000.0,354916200000.0
Short Term Investments,661200000.0,446600000.0,372800000.0,770400000.0
Net Receivables,111231200000.0,120302000000.0,83054200000.0,86932300000.0
Long Term Debt,179065700000.0,326998400000.0,294716100000.0,284239100000.0
Inventory,153341700000.0,238362700000.0,195103300000.0,170243000000.0
Accounts Payable,70150000000.0,63223700000.0,72252400000.0,75266400000.0
Deferred Long Term Asset Charges,,20221700000.0,28667700000.0,41619800000.0
