,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,72056500000.0,33015800000.0,35492400000.0,-5266300000.0
Minority Interest,100000.0,100000.0,100000.0,100000.0
Net Income,41481300000.0,21207100000.0,23487100000.0,-2814000000.0
Selling General Administrative,104772700000.0,88140100000.0,89316000000.0,89464800000.0
Gross Profit,399934600000.0,363067600000.0,358118900000.0,284379400000.0
Ebit,86752800000.0,67598300000.0,65850300000.0,16592500000.0
Operating Income,86752800000.0,67598300000.0,65850300000.0,16592500000.0
Other Operating Expenses,167381300000.0,169771900000.0,169099200000.0,147662400000.0
Interest Expense,-27842700000.0,-33604300000.0,-30941000000.0,-29293900000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,30575200000.0,11808700000.0,12005300000.0,-2452300000.0
Total Revenue,691136100000.0,616641600000.0,669735800000.0,575600200000.0
Total Operating Expenses,604383300000.0,549043300000.0,603885500000.0,559007700000.0
Cost Of Revenue,291201500000.0,253574000000.0,311616900000.0,291220800000.0
Total Other Income Expense Net,-14696300000.0,-34582500000.0,-30357900000.0,-21858800000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,41481300000.0,21207100000.0,23487100000.0,-2814000000.0
Net Income Applicable To Common Shares,41481300000.0,21207100000.0,23487100000.0,-2814000000.0
