,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,992400000.0,902700000.0,804340000.0,656970000.0
Capital Surplus,9351900000.0,9047400000.0,4177778000.0,
Total Liab,207108300000.0,199654900000.0,165583907000.0,132257633000.0
Total Stockholder Equity,63020300000.0,53412200000.0,35877777000.0,23568728000.0
Deferred Long Term Liab,5830400000.0,6496500000.0,4882615000.0,3086608000.0
Other Current Liab,13810700000.0,11060300000.0,16132088000.0,10993375000.0
Total Assets,270128600000.0,253067100000.0,201461684000.0,155826361000.0
Common Stock,9405300000.0,9389600000.0,8372222000.0,7850000000.0
Other Current Assets,3581800000.0,4394000000.0,2637322000.0,4364904000.0
Retained Earnings,44437100000.0,35474500000.0,23056360000.0,
Other Liab,1303100000.0,1380200000.0,996969000.0,729346000.0
Treasury Stock,-174000000.0,-499300000.0,271417000.0,15718728000.0
Other Assets,11214200000.0,10643800000.0,7257765000.0,4581193000.0
Cash,6432000000.0,5159100000.0,7335040000.0,3119025000.0
Total Current Liabilities,157796000000.0,166207800000.0,132951300000.0,115520668000.0
Deferred Long Term Asset Charges,3950900000.0,2751300000.0,1632593000.0,859921000.0
Short Long Term Debt,3341200000.0,14769400000.0,499905000.0,499710000.0
Other Stockholder Equity,-174000000.0,-499300000.0,271417000.0,15718728000.0
Property Plant Equipment,2189300000.0,2443000000.0,1359537000.0,1097633000.0
Total Current Assets,246157100000.0,239063000000.0,192025411000.0,149490555000.0
Long Term Investments,9575600000.0,14600000.0,14631000.0,10000.0
Net Tangible Assets,62027900000.0,52509500000.0,35073437000.0,22911758000.0
Net Receivables,236142300000.0,229509900000.0,182052014000.0,142006626000.0
Long Term Debt,46850000000.0,30792200000.0,31062804000.0,15578876000.0
Accounts Payable,7488100000.0,7210300000.0,6614958000.0,5182172000.0
