,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,13237300000.0,17296400000.0,13350835000.0,9230229000.0
Minority Interest,,,,
Net Income,9845200000.0,12448200000.0,8649659000.0,6035476000.0
Selling General Administrative,21767500000.0,22054600000.0,15854971000.0,14810250000.0
Gross Profit,54976400000.0,48571200000.0,37729851000.0,28648324000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,13148600000.0,15655300000.0,13412520000.0,9469649000.0
Other Operating Expenses,-2767700000.0,-2436700000.0,-1426932000.0,-1732708000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3392100000.0,4848200000.0,4701176000.0,3194753000.0
Total Revenue,78440800000.0,73287900000.0,59269425000.0,43109140000.0
Total Operating Expenses,65292200000.0,57632600000.0,45856905000.0,33639491000.0
Cost Of Revenue,23464400000.0,24716700000.0,21539574000.0,14460816000.0
Total Other Income Expense Net,88700000.0,1641100000.0,-61685000.0,-239420000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,9845200000.0,12448200000.0,8649659000.0,6035476000.0
Net Income Applicable To Common Shares,9845200000.0,12448200000.0,8649659000.0,6035476000.0
