,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,14199000000.0,10369000000.0,17141000000.0,14015000000.0
Minority Interest,81000000.0,81000000.0,81000000.0,81000000.0
Net Income,10903000000.0,7686000000.0,10994000000.0,9012000000.0
Selling General Administrative,16746000000.0,14200000000.0,16053000000.0,15588000000.0
Gross Profit,43275000000.0,34970000000.0,41502000000.0,40493000000.0
Ebit,12442000000.0,10594000000.0,13196000000.0,12487000000.0
Operating Income,12442000000.0,10594000000.0,13196000000.0,12487000000.0
Other Operating Expenses,11107000000.0,8264000000.0,10264000000.0,10441000000.0
Interest Expense,-246000000.0,-295000000.0,-116000000.0,-82000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,3698000000.0,2674000000.0,5785000000.0,5003000000.0
Total Revenue,136392000000.0,99465000000.0,130839000000.0,127953000000.0
Total Operating Expenses,123950000000.0,88871000000.0,117643000000.0,115466000000.0
Cost Of Revenue,93117000000.0,64495000000.0,89337000000.0,87460000000.0
Total Other Income Expense Net,1757000000.0,-225000000.0,3945000000.0,1528000000.0
Discontinued Operations,403000000.0,-9000000.0,-362000000.0,-362000000.0
Net Income From Continuing Ops,10501000000.0,7695000000.0,11356000000.0,9012000000.0
Net Income Applicable To Common Shares,10903000000.0,7686000000.0,10994000000.0,9012000000.0
