,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,15262600000.0,11865700000.0,5616600000.0,9310100000.0
Minority Interest,,,,5200000.0
Net Income,12518800000.0,10247200000.0,4362800000.0,6781100000.0
Selling General Administrative,14596900000.0,14421200000.0,14037900000.0,11352500000.0
Gross Profit,58584100000.0,57723900000.0,54531100000.0,42763600000.0
Ebit,18283700000.0,15188500000.0,13686700000.0,9524300000.0
Operating Income,18283700000.0,15188500000.0,13686700000.0,9524300000.0
Other Operating Expenses,19130400000.0,21599100000.0,20662600000.0,17800800000.0
Interest Expense,-3561600000.0,-4483600000.0,-5011000000.0,-3047900000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2743800000.0,1618500000.0,1253500000.0,2528700000.0
Total Revenue,80048300000.0,79393100000.0,76728000000.0,59498300000.0
Total Operating Expenses,61764600000.0,64204600000.0,63041300000.0,49974000000.0
Cost Of Revenue,21464200000.0,21669200000.0,22196900000.0,16734700000.0
Total Other Income Expense Net,-3021100000.0,-3322800000.0,-8070100000.0,-214200000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,12518800000.0,10247200000.0,4363100000.0,6781400000.0
Net Income Applicable To Common Shares,12518800000.0,10247200000.0,4362800000.0,6781100000.0
