,2021-03-31,2020-03-31,2019-03-31,2018-03-31
Intangible Assets,34750000000.0,26300000000.0,36050000000.0,168640000000.0
Capital Surplus,190090000000.0,190090000000.0,190090000000.0,190090000000.0
Total Liab,1082810000000.0,1118750000000.0,1245190000000.0,1053120000000.0
Total Stockholder Equity,622780000000.0,546350000000.0,622970000000.0,633120000000.0
Minority Interest,151380000000.0,171120000000.0,152270000000.0,159610000000.0
Other Current Liab,190350000000.0,186850000000.0,232280000000.0,142280000000.0
Total Assets,1856970000000.0,1836220000000.0,2020430000000.0,1845850000000.0
Common Stock,3720000000.0,3720000000.0,3720000000.0,3720000000.0
Other Current Assets,75890000000.0,43320000000.0,66780000000.0,46740000000.0
Retained Earnings,177430000000.0,96290000000.0,178310000000.0,220170000000.0
Other Liab,110300000000.0,116180000000.0,131570000000.0,112760000000.0
Treasury Stock,251540000000.0,256250000000.0,250850000000.0,219140000000.0
Other Assets,202740000000.0,161820000000.0,150720000000.0,141210000000.0
Cash,48540000000.0,51170000000.0,72890000000.0,42360000000.0
Total Current Liabilities,591240000000.0,633220000000.0,766410000000.0,672470000000.0
Deferred Long Term Asset Charges,58600000000.0,68890000000.0,34750000000.0,49340000000.0
Short Long Term Debt,153560000000.0,93900000000.0,85230000000.0,94190000000.0
Other Stockholder Equity,254770000000.0,260060000000.0,254820000000.0,221730000000.0
Property Plant Equipment,1033090000000.0,1048590000000.0,1177510000000.0,954700000000.0
Total Current Assets,561920000000.0,575200000000.0,598280000000.0,551140000000.0
Long Term Investments,24470000000.0,24310000000.0,57870000000.0,30160000000.0
Net Tangible Assets,588030000000.0,520050000000.0,586920000000.0,464480000000.0
Short Term Investments,104120000000.0,77260000000.0,3700000000.0,16090000000.0
Net Receivables,56380000000.0,29040000000.0,41190000000.0,40920000000.0
Long Term Debt,379670000000.0,367320000000.0,347210000000.0,267890000000.0
Inventory,111950000000.0,127830000000.0,131980000000.0,119670000000.0
Accounts Payable,158750000000.0,169720000000.0,173520000000.0,178430000000.0
